Age,Overall,Potential,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Weight in lbs,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,Agility,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Years of experience,Height in cm
32,90,90,Right,3.0,3.0,2.0,Medium/ High,Lean,CB,172,55.0,42.0,92.0,79.0,47.0,53.0,49.0,51.0,70.0,76.0,68.0,58.0,54.0,67.0,91.0,66.0,88.0,43.0,89.0,88.0,48.0,52.0,50.0,82.0,6.0,8.0,15.0,5.0,15.0,9,187.96
32,90,90,Left,4.0,2.0,4.0,High/ Medium,Normal,LCM,148,84.0,76.0,54.0,93.0,82.0,89.0,82.0,77.0,87.0,94.0,70.0,92.0,90.0,72.0,64.0,78.0,52.0,75.0,57.0,50.0,89.0,92.0,75.0,93.0,6.0,15.0,7.0,6.0,12.0,9,172.72
27,89,90,Right,3.0,3.0,2.0,Medium/ High,Lean,LDM,159,68.0,65.0,54.0,86.0,56.0,79.0,49.0,49.0,81.0,80.0,82.0,82.0,92.0,71.0,77.0,96.0,76.0,69.0,90.0,92.0,71.0,79.0,54.0,85.0,15.0,12.0,10.0,7.0,10.0,3,167.64000000000001
24,89,94,Left,3.0,3.0,4.0,High/ Medium,Normal,LF,165,82.0,84.0,68.0,87.0,88.0,92.0,88.0,88.0,75.0,92.0,87.0,91.0,85.0,82.0,75.0,80.0,65.0,88.0,48.0,32.0,84.0,87.0,86.0,84.0,5.0,4.0,4.0,5.0,8.0,4,177.8
24,89,91,Right,3.0,4.0,3.0,High/ High,Normal,ST,196,75.0,94.0,85.0,80.0,84.0,80.0,78.0,68.0,82.0,84.0,68.0,71.0,71.0,88.0,78.0,89.0,84.0,85.0,76.0,35.0,93.0,80.0,90.0,89.0,8.0,10.0,11.0,14.0,11.0,9,187.96
27,89,90,Left,4.0,3.0,4.0,High/ High,Lean,CAM,161,82.0,90.0,84.0,83.0,87.0,88.0,84.0,78.0,76.0,90.0,88.0,90.0,80.0,80.0,90.0,83.0,62.0,82.0,69.0,35.0,91.0,83.0,79.0,87.0,14.0,8.0,14.0,13.0,14.0,5,175.26
29,89,89,Right,4.0,3.0,3.0,Medium/ Medium,Lean,CDM,168,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,66.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,90.0,5.0,8.0,13.0,9.0,13.0,11,187.96
31,89,89,Right,4.0,4.0,3.0,High/ High,Lean,LS,170,70.0,89.0,89.0,78.0,90.0,80.0,77.0,76.0,52.0,82.0,75.0,77.0,59.0,87.0,88.0,92.0,78.0,79.0,84.0,48.0,93.0,77.0,85.0,82.0,12.0,5.0,13.0,13.0,10.0,6,185.42
30,89,89,Right,4.0,4.0,4.0,High/ Medium,Stocky,ST,154,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,86.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,13.0,15.0,6.0,11.0,14.0,8,172.72
33,89,89,Left,4.0,3.0,2.0,Medium/ High,Normal,LCB,187,58.0,33.0,83.0,59.0,45.0,58.0,60.0,31.0,59.0,57.0,63.0,54.0,55.0,78.0,89.0,65.0,89.0,49.0,92.0,88.0,28.0,50.0,50.0,84.0,3.0,3.0,2.0,4.0,3.0,14,187.96
19,88,95,Right,3.0,4.0,5.0,High/ Medium,Lean,RM,161,77.0,88.0,77.0,82.0,78.0,90.0,77.0,63.0,73.0,91.0,96.0,92.0,83.0,79.0,75.0,83.0,71.0,78.0,62.0,38.0,88.0,82.0,70.0,86.0,13.0,5.0,7.0,11.0,6.0,1,177.8
26,88,90,Right,3.0,3.0,2.0,Medium/ High,Normal,CDM,185,52.0,59.0,76.0,85.0,53.0,69.0,59.0,74.0,82.0,78.0,59.0,62.0,66.0,86.0,88.0,87.0,89.0,79.0,87.0,87.0,69.0,77.0,66.0,84.0,13.0,14.0,16.0,12.0,12.0,6,185.42
27,88,88,Right,3.0,3.0,4.0,High/ Medium,Normal,LW,130,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,94.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,8.0,4.0,14.0,9.0,10.0,9,162.56
26,88,91,Right,3.0,3.0,4.0,High/ Medium,Normal,LW,174,75.0,79.0,55.0,89.0,65.0,94.0,88.0,76.0,83.0,95.0,75.0,87.0,90.0,69.0,64.0,70.0,59.0,87.0,58.0,64.0,78.0,89.0,76.0,86.0,10.0,8.0,12.0,15.0,6.0,6,175.26
26,88,91,Right,3.0,5.0,4.0,High/ Medium,Lean,CAM,168,88.0,80.0,52.0,91.0,77.0,84.0,86.0,87.0,88.0,91.0,75.0,79.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,83.0,91.0,67.0,88.0,9.0,14.0,7.0,7.0,6.0,6,180.34
26,88,89,Right,3.0,4.0,5.0,High/ High,Normal,LW,150,79.0,79.0,48.0,88.0,75.0,91.0,91.0,86.0,83.0,92.0,89.0,92.0,93.0,83.0,59.0,79.0,61.0,93.0,59.0,49.0,84.0,90.0,70.0,85.0,12.0,7.0,9.0,14.0,6.0,1,172.72
29,88,88,Right,3.0,4.0,4.0,Medium/ Low,Lean,LM,176,77.0,88.0,79.0,77.0,86.0,79.0,80.0,74.0,64.0,82.0,93.0,76.0,70.0,82.0,79.0,76.0,76.0,79.0,43.0,48.0,90.0,77.0,76.0,86.0,6.0,9.0,15.0,9.0,9.0,1,187.96
29,88,88,Right,4.0,3.0,3.0,High/ Medium,Normal,LCB,203,64.0,55.0,87.0,81.0,60.0,68.0,65.0,53.0,85.0,81.0,53.0,63.0,60.0,71.0,68.0,66.0,84.0,51.0,69.0,92.0,56.0,79.0,68.0,91.0,15.0,6.0,10.0,5.0,6.0,3,190.5
30,88,88,Left,4.0,4.0,5.0,High/ Low,Normal,LB,176,90.0,70.0,75.0,84.0,54.0,90.0,85.0,67.0,76.0,92.0,83.0,86.0,86.0,83.0,76.0,91.0,78.0,70.0,84.0,85.0,85.0,82.0,59.0,86.0,12.0,5.0,5.0,5.0,9.0,12,175.26
28,88,88,Left,4.0,3.0,4.0,High/ Medium,Lean,ST,181,87.0,86.0,84.0,85.0,85.0,87.0,90.0,87.0,80.0,85.0,94.0,82.0,65.0,92.0,87.0,75.0,80.0,91.0,65.0,59.0,85.0,79.0,76.0,86.0,15.0,15.0,11.0,5.0,6.0,6,185.42
33,88,88,Right,4.0,3.0,2.0,Medium/ High,Normal,RCB,181,60.0,38.0,81.0,80.0,63.0,62.0,61.0,64.0,80.0,80.0,70.0,68.0,68.0,71.0,90.0,74.0,82.0,68.0,76.0,89.0,59.0,72.0,60.0,81.0,9.0,12.0,5.0,9.0,10.0,7,182.88
24,87,92,Left,3.0,3.0,2.0,Medium/ High,Normal,CB,165,69.0,51.0,79.0,81.0,70.0,69.0,72.0,62.0,73.0,77.0,71.0,68.0,66.0,83.0,89.0,78.0,84.0,74.0,81.0,87.0,58.0,58.0,61.0,82.0,15.0,10.0,14.0,12.0,15.0,3,182.88
25,87,90,Right,3.0,4.0,3.0,Medium/ Low,Normal,ST,165,46.0,91.0,91.0,73.0,85.0,77.0,58.0,45.0,54.0,81.0,77.0,76.0,76.0,84.0,94.0,72.0,76.0,70.0,56.0,22.0,92.0,64.0,82.0,85.0,13.0,9.0,5.0,7.0,9.0,6,180.34
27,87,90,Right,3.0,3.0,2.0,High/ High,Normal,LCB,196,30.0,19.0,81.0,66.0,14.0,66.0,28.0,28.0,56.0,60.0,68.0,50.0,40.0,55.0,81.0,71.0,94.0,15.0,87.0,88.0,24.0,43.0,33.0,78.0,7.0,11.0,7.0,13.0,5.0,5,187.96
25,87,91,Right,4.0,4.0,5.0,High/ Low,Normal,RDM,185,80.0,73.0,73.0,86.0,85.0,87.0,84.0,82.0,90.0,90.0,71.0,74.0,64.0,90.0,83.0,88.0,89.0,81.0,78.0,66.0,81.0,87.0,81.0,87.0,5.0,6.0,2.0,4.0,3.0,3,193.04
25,87,89,Left,3.0,3.0,3.0,Medium/ Medium,Stocky,ST,207,78.0,87.0,86.0,77.0,79.0,80.0,74.0,66.0,73.0,72.0,77.0,60.0,46.0,88.0,71.0,84.0,94.0,74.0,75.0,27.0,89.0,76.0,78.0,83.0,8.0,15.0,14.0,7.0,10.0,2,190.5
28,87,87,Right,3.0,4.0,3.0,High/ Medium,Normal,ST,187,55.0,90.0,81.0,74.0,87.0,83.0,70.0,51.0,49.0,83.0,78.0,77.0,63.0,86.0,77.0,80.0,76.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,6.0,8.0,15.0,12.0,6.0,3,185.42
29,87,87,Left,3.0,3.0,3.0,High/ Medium,Normal,LB,150,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,90.0,85.0,64.0,81.0,91.0,61.0,66.0,75.0,84.0,79.0,70.0,59.0,79.0,13.0,15.0,13.0,6.0,13.0,7,170.18
31,87,87,Right,3.0,4.0,4.0,High/ Low,Normal,RF,134,77.0,86.0,35.0,82.0,70.0,91.0,82.0,79.0,74.0,89.0,93.0,94.0,92.0,80.0,60.0,75.0,42.0,81.0,59.0,36.0,87.0,83.0,79.0,81.0,7.0,10.0,8.0,10.0,4.0,6,170.18
31,87,87,Left,3.0,3.0,3.0,High/ High,Normal,LCB,190,68.0,56.0,80.0,79.0,52.0,71.0,58.0,73.0,74.0,76.0,61.0,61.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,6.0,10.0,9.0,12.0,7.0,7,187.96
30,87,87,Right,3.0,5.0,3.0,High/ Medium,Normal,LCM,174,78.0,79.0,74.0,88.0,79.0,86.0,80.0,72.0,83.0,87.0,69.0,76.0,66.0,82.0,71.0,84.0,67.0,83.0,56.0,72.0,88.0,86.0,70.0,84.0,8.0,6.0,4.0,14.0,14.0,12,182.88
30,87,87,Right,4.0,3.0,3.0,High/ High,Normal,RCM,172,84.0,83.0,58.0,87.0,80.0,84.0,88.0,84.0,90.0,87.0,66.0,72.0,66.0,84.0,39.0,84.0,66.0,90.0,67.0,75.0,79.0,86.0,82.0,81.0,14.0,11.0,12.0,5.0,9.0,5,182.88
31,87,87,Right,4.0,3.0,2.0,High/ Medium,Normal,RCB,187,57.0,64.0,83.0,81.0,57.0,59.0,58.0,43.0,80.0,78.0,49.0,58.0,36.0,62.0,74.0,65.0,83.0,51.0,72.0,88.0,58.0,62.0,69.0,86.0,10.0,11.0,14.0,15.0,8.0,11,193.04
22,86,92,Left,2.0,3.0,4.0,High/ Medium,Lean,LW,165,83.0,81.0,72.0,79.0,85.0,88.0,82.0,68.0,64.0,85.0,93.0,88.0,81.0,86.0,64.0,79.0,70.0,78.0,61.0,34.0,84.0,82.0,71.0,78.0,8.0,12.0,9.0,9.0,14.0,3,182.88
23,86,91,Left,2.0,3.0,4.0,High/ Medium,Lean,RW,141,85.0,75.0,51.0,85.0,69.0,92.0,83.0,67.0,79.0,91.0,84.0,90.0,88.0,70.0,50.0,78.0,48.0,72.0,58.0,49.0,83.0,86.0,68.0,85.0,9.0,10.0,14.0,12.0,9.0,2,172.72
26,86,87,Right,3.0,4.0,4.0,High/ Medium,Lean,LM,152,73.0,84.0,62.0,79.0,71.0,87.0,74.0,64.0,71.0,86.0,95.0,91.0,86.0,82.0,75.0,84.0,67.0,74.0,73.0,35.0,87.0,82.0,71.0,80.0,10.0,10.0,15.0,7.0,14.0,3,175.26
26,86,88,Right,3.0,3.0,2.0,Medium/ Medium,Normal,LCB,203,53.0,52.0,82.0,76.0,45.0,70.0,60.0,70.0,78.0,73.0,74.0,61.0,49.0,81.0,85.0,71.0,92.0,64.0,81.0,86.0,41.0,59.0,62.0,83.0,13.0,10.0,13.0,11.0,11.0,1,193.04
23,86,89,Right,3.0,3.0,4.0,High/ Medium,Lean,RW,152,77.0,77.0,38.0,84.0,67.0,88.0,70.0,63.0,69.0,87.0,95.0,93.0,93.0,73.0,57.0,78.0,52.0,73.0,38.0,30.0,87.0,77.0,69.0,77.0,15.0,12.0,12.0,15.0,9.0,4,170.18
26,86,87,Right,3.0,4.0,4.0,High/ High,Lean,CAM,168,72.0,87.0,77.0,86.0,81.0,87.0,80.0,65.0,75.0,88.0,78.0,80.0,81.0,81.0,81.0,90.0,74.0,76.0,73.0,58.0,87.0,85.0,72.0,87.0,8.0,11.0,9.0,6.0,10.0,4,180.34
25,86,91,Right,3.0,3.0,2.0,Medium/ High,Lean,RCB,179,36.0,40.0,83.0,75.0,42.0,57.0,46.0,54.0,76.0,77.0,83.0,63.0,40.0,52.0,79.0,73.0,84.0,53.0,77.0,82.0,44.0,56.0,43.0,82.0,11.0,11.0,9.0,5.0,14.0,8,190.5
25,86,89,Right,3.0,4.0,4.0,Medium/ High,Normal,LCM,132,72.0,60.0,55.0,90.0,64.0,90.0,73.0,64.0,89.0,88.0,69.0,87.0,94.0,56.0,64.0,77.0,52.0,58.0,89.0,84.0,71.0,87.0,64.0,93.0,12.0,12.0,15.0,15.0,10.0,7,165.1
27,86,86,Left,3.0,3.0,3.0,High/ High,Normal,LB,176,84.0,55.0,76.0,81.0,68.0,80.0,78.0,59.0,71.0,81.0,83.0,79.0,78.0,80.0,79.0,92.0,79.0,72.0,82.0,82.0,70.0,70.0,60.0,82.0,7.0,7.0,9.0,12.0,5.0,4,180.34
27,86,86,Left,3.0,3.0,5.0,High/ Medium,Normal,LM,154,84.0,67.0,50.0,84.0,76.0,92.0,84.0,78.0,68.0,91.0,97.0,93.0,91.0,86.0,61.0,78.0,63.0,80.0,55.0,48.0,76.0,84.0,77.0,84.0,13.0,15.0,9.0,12.0,5.0,1,172.72
28,86,86,Right,4.0,4.0,3.0,High/ High,Lean,CAM,165,79.0,87.0,82.0,83.0,84.0,75.0,81.0,59.0,72.0,82.0,73.0,75.0,72.0,78.0,81.0,87.0,68.0,80.0,57.0,58.0,92.0,85.0,60.0,83.0,6.0,7.0,11.0,14.0,14.0,11,185.42
27,86,86,Right,3.0,3.0,5.0,Medium/ Medium,Normal,CM,154,72.0,69.0,54.0,90.0,90.0,90.0,85.0,77.0,87.0,90.0,78.0,90.0,86.0,75.0,75.0,75.0,59.0,79.0,57.0,78.0,79.0,86.0,75.0,85.0,6.0,11.0,7.0,9.0,13.0,6,175.26
29,86,86,Right,4.0,4.0,4.0,High/ Medium,Lean,LM,157,79.0,87.0,49.0,86.0,90.0,87.0,89.0,84.0,75.0,86.0,86.0,86.0,81.0,88.0,70.0,73.0,67.0,86.0,49.0,50.0,88.0,86.0,89.0,84.0,12.0,12.0,13.0,13.0,11.0,7,180.34
28,86,86,Right,3.0,3.0,2.0,Medium/ Medium,Normal,RB,168,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,72.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,13.0,9.0,10.0,6.0,5.0,7,177.8
31,86,86,Right,3.0,3.0,2.0,Low/ High,Lean,RCB,187,44.0,48.0,86.0,77.0,58.0,69.0,56.0,61.0,85.0,75.0,57.0,60.0,52.0,74.0,85.0,71.0,83.0,65.0,82.0,90.0,38.0,74.0,70.0,86.0,2.0,2.0,3.0,2.0,4.0,1,190.5
29,86,87,Right,3.0,3.0,2.0,Medium/ Medium,Normal,RCB,179,64.0,45.0,82.0,79.0,38.0,62.0,63.0,69.0,85.0,74.0,61.0,60.0,50.0,78.0,84.0,74.0,79.0,65.0,80.0,87.0,58.0,67.0,58.0,81.0,16.0,6.0,14.0,16.0,14.0,4,185.42
28,86,86,Right,3.0,4.0,3.0,Medium/ Medium,Normal,CDM,159,80.0,60.0,60.0,89.0,72.0,86.0,86.0,92.0,85.0,89.0,66.0,77.0,79.0,78.0,61.0,78.0,66.0,82.0,70.0,78.0,70.0,88.0,79.0,86.0,7.0,7.0,13.0,7.0,8.0,3,177.8
31,86,86,Right,3.0,3.0,2.0,Medium/ High,Normal,CB,207,45.0,47.0,83.0,65.0,44.0,64.0,34.0,27.0,65.0,64.0,65.0,59.0,53.0,66.0,85.0,69.0,91.0,24.0,86.0,86.0,38.0,47.0,41.0,82.0,7.0,4.0,8.0,7.0,11.0,5,187.96
29,86,86,Left,4.0,2.0,4.0,Medium/ Low,Lean,CAM,168,83.0,73.0,54.0,89.0,80.0,84.0,84.0,77.0,82.0,90.0,72.0,79.0,70.0,70.0,48.0,69.0,57.0,75.0,48.0,24.0,83.0,91.0,67.0,82.0,6.0,14.0,10.0,6.0,14.0,6,180.34
33,86,86,Right,3.0,4.0,3.0,Medium/ High,Lean,CDM,148,68.0,69.0,63.0,85.0,74.0,77.0,70.0,72.0,81.0,82.0,68.0,72.0,78.0,83.0,76.0,79.0,76.0,78.0,87.0,88.0,70.0,75.0,61.0,79.0,12.0,11.0,5.0,13.0,7.0,6,177.8
34,86,86,Right,4.0,4.0,4.0,High/ Medium,Normal,LF,150,77.0,70.0,54.0,90.0,74.0,90.0,80.0,70.0,85.0,92.0,70.0,79.0,84.0,65.0,47.0,55.0,58.0,71.0,58.0,66.0,81.0,93.0,71.0,89.0,6.0,13.0,6.0,13.0,7.0,1,170.18
23,85,92,Right,1.0,4.0,2.0,Medium/ High,Normal,LCB,176,40.0,42.0,80.0,70.0,40.0,59.0,34.0,30.0,68.0,67.0,70.0,48.0,48.0,50.0,78.0,77.0,83.0,30.0,86.0,86.0,30.0,57.0,56.0,80.0,10.0,13.0,12.0,8.0,12.0,2,187.96
23,85,90,Right,2.0,4.0,4.0,High/ Medium,Normal,CM,168,64.0,80.0,86.0,85.0,74.0,86.0,78.0,75.0,85.0,87.0,68.0,66.0,59.0,83.0,85.0,85.0,88.0,80.0,73.0,78.0,79.0,85.0,56.0,82.0,7.0,10.0,7.0,16.0,7.0,4,190.5
22,85,92,Left,3.0,3.0,4.0,High/ Medium,Normal,RW,168,82.0,82.0,50.0,83.0,79.0,86.0,83.0,76.0,82.0,85.0,85.0,79.0,76.0,86.0,58.0,76.0,61.0,88.0,45.0,45.0,82.0,84.0,62.0,83.0,13.0,9.0,6.0,12.0,10.0,4,182.88
24,85,89,Left,3.0,3.0,4.0,High/ Medium,Stocky,CAM,165,83.0,82.0,49.0,83.0,77.0,90.0,81.0,79.0,75.0,89.0,79.0,90.0,91.0,84.0,69.0,80.0,82.0,82.0,73.0,28.0,81.0,81.0,81.0,89.0,15.0,9.0,8.0,14.0,15.0,6,172.72
23,85,88,Right,3.0,4.0,3.0,High/ Low,Lean,RCM,154,90.0,66.0,74.0,85.0,61.0,80.0,81.0,61.0,80.0,85.0,78.0,84.0,83.0,75.0,79.0,85.0,65.0,69.0,74.0,79.0,80.0,79.0,44.0,82.0,8.0,15.0,7.0,15.0,15.0,4,175.26
23,85,90,Left,3.0,4.0,3.0,High/ High,Lean,RCM,170,69.0,78.0,83.0,85.0,76.0,83.0,72.0,60.0,83.0,85.0,74.0,76.0,69.0,78.0,79.0,86.0,77.0,79.0,69.0,78.0,82.0,82.0,55.0,83.0,7.0,13.0,12.0,10.0,9.0,6,182.88
27,85,85,Left,3.0,4.0,5.0,Medium/ Medium,Lean,RW,148,81.0,80.0,48.0,82.0,72.0,91.0,84.0,78.0,76.0,90.0,88.0,93.0,88.0,79.0,61.0,76.0,54.0,81.0,48.0,39.0,80.0,81.0,73.0,86.0,15.0,9.0,13.0,11.0,6.0,1,177.8
26,85,87,Left,4.0,4.0,3.0,High/ Medium,Lean,LB,168,81.0,63.0,75.0,82.0,68.0,79.0,78.0,84.0,80.0,83.0,79.0,79.0,77.0,83.0,82.0,87.0,71.0,82.0,69.0,84.0,76.0,77.0,80.0,79.0,5.0,7.0,14.0,15.0,9.0,9,180.34
26,85,86,Right,3.0,4.0,3.0,High/ High,Normal,LM,163,86.0,72.0,61.0,90.0,56.0,82.0,85.0,76.0,89.0,86.0,71.0,74.0,78.0,84.0,61.0,90.0,79.0,81.0,71.0,66.0,84.0,87.0,59.0,78.0,14.0,12.0,5.0,10.0,13.0,8,175.26
27,85,86,Right,3.0,4.0,4.0,High/ High,Normal,ST,161,64.0,88.0,73.0,80.0,81.0,85.0,74.0,71.0,59.0,83.0,81.0,85.0,85.0,83.0,76.0,79.0,73.0,75.0,70.0,42.0,86.0,76.0,84.0,85.0,11.0,6.0,9.0,5.0,6.0,2,175.26
27,85,87,Right,3.0,2.0,2.0,Low/ High,Normal,LCB,183,27.0,10.0,80.0,60.0,16.0,54.0,30.0,10.0,61.0,65.0,80.0,68.0,59.0,40.0,86.0,76.0,82.0,12.0,86.0,86.0,25.0,22.0,26.0,79.0,8.0,6.0,8.0,15.0,12.0,5,187.96
30,85,85,Right,3.0,3.0,2.0,High/ High,Normal,CB,179,52.0,54.0,85.0,75.0,57.0,51.0,50.0,39.0,72.0,70.0,57.0,64.0,62.0,69.0,92.0,67.0,80.0,56.0,91.0,84.0,51.0,53.0,45.0,80.0,12.0,5.0,8.0,11.0,12.0,4,182.88
29,85,85,Right,2.0,4.0,3.0,Medium/ Low,Lean,RCM,163,84.0,79.0,61.0,90.0,72.0,78.0,89.0,90.0,87.0,84.0,51.0,66.0,72.0,78.0,51.0,78.0,72.0,82.0,58.0,81.0,81.0,86.0,83.0,78.0,5.0,9.0,12.0,14.0,8.0,8,182.88
29,85,85,Right,4.0,3.0,4.0,High/ High,Normal,RW,163,77.0,80.0,73.0,77.0,83.0,87.0,79.0,78.0,75.0,86.0,86.0,90.0,87.0,84.0,87.0,83.0,72.0,81.0,79.0,46.0,84.0,82.0,77.0,84.0,10.0,10.0,15.0,12.0,13.0,1,170.18
28,85,85,Right,3.0,3.0,4.0,High/ Medium,Normal,LM,146,79.0,76.0,46.0,79.0,73.0,93.0,84.0,78.0,72.0,86.0,87.0,92.0,87.0,69.0,72.0,85.0,49.0,76.0,46.0,38.0,83.0,79.0,75.0,90.0,13.0,16.0,12.0,7.0,7.0,5,175.26
29,85,85,Right,4.0,4.0,2.0,Medium/ Medium,Stocky,RCB,198,69.0,34.0,85.0,75.0,52.0,64.0,53.0,31.0,83.0,70.0,67.0,56.0,52.0,78.0,74.0,69.0,91.0,58.0,81.0,81.0,47.0,75.0,46.0,84.0,7.0,12.0,15.0,6.0,5.0,8,193.04
31,85,85,Right,4.0,4.0,3.0,Medium/ Medium,Normal,CAM,165,76.0,75.0,82.0,83.0,78.0,76.0,76.0,68.0,79.0,82.0,60.0,74.0,75.0,86.0,85.0,83.0,79.0,85.0,93.0,84.0,80.0,80.0,81.0,81.0,4.0,2.0,4.0,2.0,4.0,1,180.34
29,85,85,Right,3.0,5.0,4.0,Medium/ Medium,Lean,LM,176,83.0,79.0,80.0,81.0,81.0,84.0,73.0,75.0,77.0,85.0,84.0,78.0,74.0,84.0,84.0,89.0,78.0,79.0,65.0,69.0,85.0,79.0,76.0,80.0,6.0,7.0,10.0,9.0,6.0,4,185.42
32,85,85,Right,3.0,5.0,2.0,Medium/ Medium,Lean,ST,185,63.0,89.0,84.0,77.0,77.0,76.0,65.0,54.0,72.0,84.0,65.0,57.0,36.0,86.0,66.0,76.0,80.0,79.0,51.0,50.0,89.0,74.0,67.0,83.0,9.0,11.0,13.0,15.0,15.0,4,193.04
31,85,85,Right,3.0,4.0,2.0,High/ High,Normal,RCM,198,72.0,72.0,76.0,85.0,78.0,81.0,68.0,68.0,82.0,84.0,54.0,55.0,54.0,82.0,68.0,78.0,87.0,78.0,82.0,86.0,79.0,82.0,69.0,84.0,11.0,9.0,5.0,15.0,8.0,4,187.96
